56	166
78	166
127	519
76	166
74	174
174	175
127	925
78	102
180	444
175	2633
174	241
241	1000
46	1330
175	364
345	446
127	313
140	3846
165	255
588	612
74	936
140	3975
140	3538
355	925
140	3858
27	478
102	3237
398	520
225	443
102	140
165	499
140	3467
292	2607
140	3989
140	3243
140	3660
340	796
364	652
367	614
367	2276
140	3919
140	3414
140	3405
106	398
78	234
642	1373
549	614
586	723
140	340
234	458
76	144
146	228
281	383
76	1555
213	364
225	229
188	614
46	114
168	188
140	3554
243	2689
79	255
140	2567
233	367
140	845
383	590
255	723
140	3893
140	4009
127	3657
74	177
180	2606
136	1704
78	347
140	3897
146	265
469	575
168	398
111	114
78	143
346	734
78	462
78	416
1198	1478
444	469
114	175
78	224
446	586
140	4003
241	3170
458	3107
74	559
188	737
685	948
146	345
443	652
443	549
78	220
444	3669
140	3588
166	192
78	218
146	234
299	467
383	3704
520	1569
241	3122
312	519
566	2692
76	1635
458	2501
446	520
136	1299
127	1018
140	3790
345	2619
676	1307
241	1305
444	3177
76	631
315	561
74	260
140	367
353	2648
172	228
172	241
233	2686
140	1759
353	614
520	595
76	169
255	2602
140	3814
140	4050
76	1579
56	1077
478	3535
140	3512
106	853
76	1633
734	2160
76	1435
566	3098
281	681
225	1319
136	833
5	416
241	347
140	3840
520	549
140	3236
188	511
723	3468
74	1555
586	2667
549	772
175	2591
111	3133
127	342
281	562
140	2638
228	1381
336	4041
73	686
76	1382
140	2697
78	230
225	772
443	613
140	4055
127	1443
76	1480
175	2269
166	562
346	672
76	1764
188	740
136	1551
140	3114
106	164
140	3615
443	948
106	1071
140	1071
423	675
141	370
796	3075
353	1159
111	399
241	3107
353	3288
76	86
127	1643
592	3865
146	180
243	3104
78	245
140	2679
355	672
592	3646
140	3421
586	948
140	3416
106	804
613	1176
76	1252
78	171
74	1176
76	1625
164	301
140	995
140	2583
140	3605
74	1765
681	1149
1478	2651
111	1478
444	1305
192	1289
652	1606
584	588
76	1738
370	1126
586	1555
228	681
383	3050
140	3454
520	2294
416	650
73	74
73	215
140	4031
56	461
56	174
76	661
140	3460
140	3765
78	304
444	1334
504	739
336	836
106	151
299	622
370	681
140	546
364	645
146	749
416	2653
335	3616
46	823
292	1305
346	520
383	520
383	499
499	3325
353	674
